2024-09-22 23:09:14,307 - INFO - Modelo preentrenado cargado desde /home/riwamoto/riwamoto_data/ALE_Pong_results/models/dqn_model_ALE_Pong_final_20240830_095849.pth
2024-09-22 23:09:36,889 - INFO - Ep.: 38, Score: -21.0, e: 0.05, Steps: 764, Avg Q-val: 0.02, replay: 30037, Mem Usage: 35.9%
2024-09-22 23:09:37,462 - INFO - Ep.: 39, Score: -21.0, e: 0.05, Steps: 764, Avg Q-val: 0.02, replay: 30801, Mem Usage: 36.4%
2024-09-22 23:09:38,036 - INFO - Ep.: 40, Score: -21.0, e: 0.05, Steps: 764, Avg Q-val: 0.02, replay: 31565, Mem Usage: 37.0%
2024-09-22 23:09:38,613 - INFO - Ep.: 41, Score: -21.0, e: 0.05, Steps: 764, Avg Q-val: 0.02, replay: 32329, Mem Usage: 37.5%
2024-09-22 23:09:39,187 - INFO - Ep.: 42, Score: -21.0, e: 0.05, Steps: 764, Avg Q-val: 0.02, replay: 33093, Mem Usage: 38.0%
2024-09-22 23:09:39,761 - INFO - Ep.: 43, Score: -21.0, e: 0.05, Steps: 764, Avg Q-val: 0.02, replay: 33857, Mem Usage: 38.5%
2024-09-22 23:09:40,488 - INFO - Ep.: 44, Score: -19.0, e: 0.05, Steps: 998, Avg Q-val: 0.02, replay: 34855, Mem Usage: 39.2%
2024-09-22 23:09:41,124 - INFO - Ep.: 45, Score: -21.0, e: 0.05, Steps: 843, Avg Q-val: 0.02, replay: 35698, Mem Usage: 39.8%
2024-09-22 23:09:41,701 - INFO - Ep.: 46, Score: -21.0, e: 0.05, Steps: 764, Avg Q-val: 0.02, replay: 36462, Mem Usage: 40.3%
2024-09-22 23:09:42,503 - INFO - Ep.: 47, Score: -18.0, e: 0.05, Steps: 1095, Avg Q-val: 0.02, replay: 37557, Mem Usage: 41.1%
2024-09-22 23:09:43,220 - INFO - Ep.: 48, Score: -19.0, e: 0.05, Steps: 985, Avg Q-val: 0.02, replay: 38542, Mem Usage: 41.8%
2024-09-22 23:09:43,796 - INFO - Ep.: 49, Score: -21.0, e: 0.05, Steps: 764, Avg Q-val: 0.02, replay: 39306, Mem Usage: 42.3%
2024-09-22 23:09:44,371 - INFO - Ep.: 50, Score: -21.0, e: 0.05, Steps: 764, Avg Q-val: 0.02, replay: 40070, Mem Usage: 42.9%
2024-09-22 23:09:44,942 - INFO - Ep.: 51, Score: -21.0, e: 0.05, Steps: 764, Avg Q-val: 0.02, replay: 40834, Mem Usage: 43.4%
2024-09-22 23:09:45,515 - INFO - Ep.: 52, Score: -21.0, e: 0.05, Steps: 764, Avg Q-val: 0.02, replay: 41598, Mem Usage: 43.9%
2024-09-22 23:09:46,079 - INFO - Ep.: 53, Score: -21.0, e: 0.05, Steps: 764, Avg Q-val: 0.02, replay: 42362, Mem Usage: 44.4%
2024-09-22 23:09:46,656 - INFO - Ep.: 54, Score: -21.0, e: 0.05, Steps: 764, Avg Q-val: 0.02, replay: 43126, Mem Usage: 44.9%
2024-09-22 23:09:47,267 - INFO - Ep.: 55, Score: -21.0, e: 0.05, Steps: 824, Avg Q-val: 0.02, replay: 43950, Mem Usage: 45.4%
2024-09-22 23:09:47,840 - INFO - Ep.: 56, Score: -21.0, e: 0.05, Steps: 764, Avg Q-val: 0.02, replay: 44714, Mem Usage: 45.9%
2024-09-22 23:09:48,419 - INFO - Ep.: 57, Score: -21.0, e: 0.05, Steps: 764, Avg Q-val: 0.02, replay: 45478, Mem Usage: 46.5%
2024-09-22 23:09:48,991 - INFO - Ep.: 58, Score: -21.0, e: 0.05, Steps: 764, Avg Q-val: 0.02, replay: 46242, Mem Usage: 47.0%
2024-09-22 23:09:49,566 - INFO - Ep.: 59, Score: -21.0, e: 0.05, Steps: 764, Avg Q-val: 0.02, replay: 47006, Mem Usage: 47.5%
2024-09-22 23:09:50,183 - INFO - Ep.: 60, Score: -21.0, e: 0.05, Steps: 825, Avg Q-val: 0.02, replay: 47831, Mem Usage: 48.0%
