2024-09-23 09:09:59,854 - INFO - Modelo preentrenado cargado desde /home/riwamoto/riwamoto_data/ALE_Pong_results/models/dqn_model_ALE_Pong_final_20240830_095849.pth
2024-09-23 09:10:24,787 - INFO - Ep.: 38, Score: -21.0, e: 0.05, Steps: 792, Avg Q-val: 0.04, replay: 35413, Mem Usage: 20.2%
2024-09-23 09:10:25,450 - INFO - Ep.: 39, Score: -21.0, e: 0.05, Steps: 888, Avg Q-val: 0.04, replay: 36301, Mem Usage: 20.8%
2024-09-23 09:10:26,076 - INFO - Ep.: 40, Score: -21.0, e: 0.05, Steps: 826, Avg Q-val: 0.04, replay: 37127, Mem Usage: 21.3%
2024-09-23 09:10:26,778 - INFO - Ep.: 41, Score: -21.0, e: 0.05, Steps: 947, Avg Q-val: 0.04, replay: 38074, Mem Usage: 21.9%
2024-09-23 09:10:27,370 - INFO - Ep.: 42, Score: -21.0, e: 0.05, Steps: 783, Avg Q-val: 0.04, replay: 38857, Mem Usage: 22.3%
2024-09-23 09:10:27,988 - INFO - Ep.: 43, Score: -21.0, e: 0.05, Steps: 826, Avg Q-val: 0.04, replay: 39683, Mem Usage: 22.8%
2024-09-23 09:10:28,603 - INFO - Ep.: 44, Score: -20.0, e: 0.05, Steps: 838, Avg Q-val: 0.04, replay: 40521, Mem Usage: 23.3%
2024-09-23 09:10:29,226 - INFO - Ep.: 45, Score: -20.0, e: 0.05, Steps: 838, Avg Q-val: 0.04, replay: 41359, Mem Usage: 23.8%
2024-09-23 09:10:29,852 - INFO - Ep.: 46, Score: -20.0, e: 0.05, Steps: 838, Avg Q-val: 0.04, replay: 42197, Mem Usage: 24.3%
2024-09-23 09:10:30,542 - INFO - Ep.: 47, Score: -19.0, e: 0.05, Steps: 937, Avg Q-val: 0.04, replay: 43134, Mem Usage: 24.8%
2024-09-23 09:10:31,287 - INFO - Ep.: 48, Score: -20.0, e: 0.05, Steps: 1022, Avg Q-val: 0.04, replay: 44156, Mem Usage: 25.4%
2024-09-23 09:10:32,065 - INFO - Ep.: 49, Score: -19.0, e: 0.05, Steps: 1072, Avg Q-val: 0.04, replay: 45228, Mem Usage: 26.0%
2024-09-23 09:10:32,682 - INFO - Ep.: 50, Score: -20.0, e: 0.05, Steps: 838, Avg Q-val: 0.04, replay: 46066, Mem Usage: 26.5%
2024-09-23 09:10:33,294 - INFO - Ep.: 51, Score: -21.0, e: 0.05, Steps: 826, Avg Q-val: 0.04, replay: 46892, Mem Usage: 27.0%
2024-09-23 09:10:33,997 - INFO - Ep.: 52, Score: -20.0, e: 0.05, Steps: 962, Avg Q-val: 0.04, replay: 47854, Mem Usage: 27.5%
2024-09-23 09:10:34,710 - INFO - Ep.: 53, Score: -20.0, e: 0.05, Steps: 966, Avg Q-val: 0.04, replay: 48820, Mem Usage: 28.1%
2024-09-23 09:10:35,298 - INFO - Ep.: 54, Score: -21.0, e: 0.05, Steps: 783, Avg Q-val: 0.04, replay: 49603, Mem Usage: 28.6%
2024-09-23 09:10:35,918 - INFO - Ep.: 55, Score: -21.0, e: 0.05, Steps: 826, Avg Q-val: 0.04, replay: 50429, Mem Usage: 29.1%
2024-09-23 09:10:36,691 - INFO - Ep.: 56, Score: -19.0, e: 0.05, Steps: 1067, Avg Q-val: 0.04, replay: 51496, Mem Usage: 29.7%
2024-09-23 09:10:37,314 - INFO - Ep.: 57, Score: -20.0, e: 0.05, Steps: 838, Avg Q-val: 0.04, replay: 52334, Mem Usage: 30.2%
2024-09-23 09:10:37,970 - INFO - Ep.: 58, Score: -21.0, e: 0.05, Steps: 886, Avg Q-val: 0.04, replay: 53220, Mem Usage: 30.7%
2024-09-23 09:10:38,658 - INFO - Ep.: 59, Score: -19.0, e: 0.05, Steps: 933, Avg Q-val: 0.04, replay: 54153, Mem Usage: 31.3%
2024-09-23 09:10:39,318 - INFO - Ep.: 60, Score: -21.0, e: 0.05, Steps: 888, Avg Q-val: 0.04, replay: 55041, Mem Usage: 31.8%
2024-09-23 09:10:39,906 - INFO - Ep.: 61, Score: -21.0, e: 0.05, Steps: 783, Avg Q-val: 0.04, replay: 55824, Mem Usage: 32.3%
2024-09-23 09:10:40,527 - INFO - Ep.: 62, Score: -21.0, e: 0.05, Steps: 824, Avg Q-val: 0.04, replay: 56648, Mem Usage: 32.8%
2024-09-23 09:10:41,197 - INFO - Ep.: 63, Score: -19.0, e: 0.05, Steps: 916, Avg Q-val: 0.04, replay: 57564, Mem Usage: 33.3%
2024-09-23 09:10:41,819 - INFO - Ep.: 64, Score: -21.0, e: 0.05, Steps: 826, Avg Q-val: 0.04, replay: 58390, Mem Usage: 33.8%
2024-09-23 09:10:42,548 - INFO - Ep.: 65, Score: -19.0, e: 0.05, Steps: 1000, Avg Q-val: 0.04, replay: 59390, Mem Usage: 34.3%
2024-09-23 09:10:43,170 - INFO - Ep.: 66, Score: -21.0, e: 0.05, Steps: 824, Avg Q-val: 0.04, replay: 60214, Mem Usage: 34.8%
2024-09-23 09:10:43,984 - INFO - Ep.: 67, Score: -19.0, e: 0.05, Steps: 1102, Avg Q-val: 0.04, replay: 61316, Mem Usage: 35.5%
2024-09-23 09:10:44,693 - INFO - Ep.: 68, Score: -20.0, e: 0.05, Steps: 960, Avg Q-val: 0.04, replay: 62276, Mem Usage: 36.1%
2024-09-23 09:10:45,402 - INFO - Ep.: 69, Score: -19.0, e: 0.05, Steps: 944, Avg Q-val: 0.04, replay: 63220, Mem Usage: 36.7%
2024-09-23 09:10:46,024 - INFO - Ep.: 70, Score: -21.0, e: 0.05, Steps: 826, Avg Q-val: 0.04, replay: 64046, Mem Usage: 37.2%
2024-09-23 09:10:46,634 - INFO - Ep.: 71, Score: -21.0, e: 0.05, Steps: 826, Avg Q-val: 0.04, replay: 64872, Mem Usage: 37.7%
2024-09-23 09:10:47,344 - INFO - Ep.: 72, Score: -20.0, e: 0.05, Steps: 960, Avg Q-val: 0.04, replay: 65832, Mem Usage: 38.3%
2024-09-23 09:10:47,972 - INFO - Ep.: 73, Score: -21.0, e: 0.05, Steps: 826, Avg Q-val: 0.04, replay: 66658, Mem Usage: 38.8%
2024-09-23 09:10:48,888 - INFO - Ep.: 74, Score: -21.0, e: 0.05, Steps: 1248, Avg Q-val: 0.04, replay: 67906, Mem Usage: 39.5%
2024-09-23 09:10:49,512 - INFO - Ep.: 75, Score: -21.0, e: 0.05, Steps: 826, Avg Q-val: 0.04, replay: 68732, Mem Usage: 40.0%
2024-09-23 09:10:50,451 - INFO - Ep.: 76, Score: -19.0, e: 0.05, Steps: 1301, Avg Q-val: 0.04, replay: 70033, Mem Usage: 40.8%
2024-09-23 09:10:51,075 - INFO - Ep.: 77, Score: -20.0, e: 0.05, Steps: 838, Avg Q-val: 0.04, replay: 70871, Mem Usage: 41.3%
2024-09-23 09:10:51,801 - INFO - Ep.: 78, Score: -19.0, e: 0.05, Steps: 993, Avg Q-val: 0.04, replay: 71864, Mem Usage: 41.9%
2024-09-23 09:10:52,546 - INFO - Ep.: 79, Score: -20.0, e: 0.05, Steps: 1022, Avg Q-val: 0.04, replay: 72886, Mem Usage: 42.4%
2024-09-23 09:10:53,165 - INFO - Ep.: 80, Score: -21.0, e: 0.05, Steps: 826, Avg Q-val: 0.04, replay: 73712, Mem Usage: 42.9%
2024-09-23 09:10:53,784 - INFO - Ep.: 81, Score: -21.0, e: 0.05, Steps: 826, Avg Q-val: 0.04, replay: 74538, Mem Usage: 43.4%
2024-09-23 09:10:54,622 - INFO - Ep.: 82, Score: -19.0, e: 0.05, Steps: 1139, Avg Q-val: 0.04, replay: 75677, Mem Usage: 44.1%
2024-09-23 09:10:55,253 - INFO - Ep.: 83, Score: -20.0, e: 0.05, Steps: 838, Avg Q-val: 0.04, replay: 76515, Mem Usage: 44.6%
2024-09-23 09:10:55,940 - INFO - Ep.: 84, Score: -19.0, e: 0.05, Steps: 941, Avg Q-val: 0.04, replay: 77456, Mem Usage: 45.1%
2024-09-23 09:10:56,550 - INFO - Ep.: 85, Score: -21.0, e: 0.05, Steps: 826, Avg Q-val: 0.04, replay: 78282, Mem Usage: 45.6%
2024-09-23 09:10:57,170 - INFO - Ep.: 86, Score: -21.0, e: 0.05, Steps: 824, Avg Q-val: 0.04, replay: 79106, Mem Usage: 46.1%
