2024-09-20 22:28:07,841 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_MarioBros_results/models/dqn_model_ALE_MarioBros_final_20240831_094717.pth
2024-09-20 22:28:08,730 - INFO - Ep.: 0, Score: -21.0, e: 1.00, Steps: 820, Avg Q-val: nan, replay: 820, Mem Usage: 4.3%
2024-09-20 22:28:09,466 - INFO - Ep.: 1, Score: -21.0, e: 1.00, Steps: 873, Avg Q-val: nan, replay: 1693, Mem Usage: 4.4%
2024-09-20 22:28:09,980 - INFO - Ep.: 2, Score: -21.0, e: 1.00, Steps: 824, Avg Q-val: nan, replay: 2517, Mem Usage: 4.4%
2024-09-20 22:28:10,710 - INFO - Ep.: 3, Score: -20.0, e: 1.00, Steps: 1237, Avg Q-val: nan, replay: 3754, Mem Usage: 4.5%
2024-09-20 22:28:11,202 - INFO - Ep.: 4, Score: -21.0, e: 1.00, Steps: 783, Avg Q-val: nan, replay: 4537, Mem Usage: 4.6%
2024-09-20 22:28:11,724 - INFO - Ep.: 5, Score: -21.0, e: 1.00, Steps: 839, Avg Q-val: nan, replay: 5376, Mem Usage: 4.7%
2024-09-20 22:28:12,221 - INFO - Ep.: 6, Score: -21.0, e: 1.00, Steps: 792, Avg Q-val: nan, replay: 6168, Mem Usage: 4.7%
2024-09-20 22:28:12,750 - INFO - Ep.: 7, Score: -21.0, e: 1.00, Steps: 852, Avg Q-val: nan, replay: 7020, Mem Usage: 4.8%
2024-09-20 22:28:13,295 - INFO - Ep.: 8, Score: -21.0, e: 1.00, Steps: 885, Avg Q-val: nan, replay: 7905, Mem Usage: 4.9%
2024-09-20 22:28:13,793 - INFO - Ep.: 9, Score: -21.0, e: 1.00, Steps: 793, Avg Q-val: nan, replay: 8698, Mem Usage: 4.9%
2024-09-20 22:28:14,429 - INFO - Ep.: 10, Score: -19.0, e: 1.00, Steps: 1056, Avg Q-val: nan, replay: 9754, Mem Usage: 5.0%
2024-09-20 22:28:15,084 - INFO - Ep.: 11, Score: -19.0, e: 1.00, Steps: 1094, Avg Q-val: nan, replay: 10848, Mem Usage: 5.1%
2024-09-20 22:28:15,576 - INFO - Ep.: 12, Score: -21.0, e: 1.00, Steps: 783, Avg Q-val: nan, replay: 11631, Mem Usage: 5.2%
2024-09-20 22:28:16,143 - INFO - Ep.: 13, Score: -20.0, e: 1.00, Steps: 926, Avg Q-val: nan, replay: 12557, Mem Usage: 5.3%
2024-09-20 22:28:16,674 - INFO - Ep.: 14, Score: -21.0, e: 1.00, Steps: 853, Avg Q-val: nan, replay: 13410, Mem Usage: 5.3%
2024-09-20 22:28:17,212 - INFO - Ep.: 15, Score: -20.0, e: 1.00, Steps: 870, Avg Q-val: nan, replay: 14280, Mem Usage: 5.4%
2024-09-20 22:28:17,750 - INFO - Ep.: 16, Score: -21.0, e: 1.00, Steps: 871, Avg Q-val: nan, replay: 15151, Mem Usage: 5.5%
2024-09-20 22:28:18,278 - INFO - Ep.: 17, Score: -21.0, e: 1.00, Steps: 852, Avg Q-val: nan, replay: 16003, Mem Usage: 5.6%
2024-09-20 22:28:18,875 - INFO - Ep.: 18, Score: -20.0, e: 1.00, Steps: 983, Avg Q-val: nan, replay: 16986, Mem Usage: 5.6%
2024-09-20 22:28:19,495 - INFO - Ep.: 19, Score: -20.0, e: 1.00, Steps: 1024, Avg Q-val: nan, replay: 18010, Mem Usage: 5.7%
2024-09-20 22:28:19,979 - INFO - Ep.: 20, Score: -21.0, e: 1.00, Steps: 764, Avg Q-val: nan, replay: 18774, Mem Usage: 5.8%
2024-09-20 22:28:20,593 - INFO - Ep.: 21, Score: -20.0, e: 1.00, Steps: 995, Avg Q-val: nan, replay: 19769, Mem Usage: 5.9%
2024-09-20 22:28:21,127 - INFO - Ep.: 22, Score: -20.0, e: 1.00, Steps: 861, Avg Q-val: nan, replay: 20630, Mem Usage: 5.9%
2024-09-20 22:28:21,662 - INFO - Ep.: 23, Score: -21.0, e: 1.00, Steps: 858, Avg Q-val: nan, replay: 21488, Mem Usage: 6.0%
2024-09-20 22:28:22,192 - INFO - Ep.: 24, Score: -21.0, e: 1.00, Steps: 852, Avg Q-val: nan, replay: 22340, Mem Usage: 6.1%
2024-09-20 22:28:22,693 - INFO - Ep.: 25, Score: -21.0, e: 1.00, Steps: 794, Avg Q-val: nan, replay: 23134, Mem Usage: 6.2%
2024-09-20 22:28:23,217 - INFO - Ep.: 26, Score: -20.0, e: 1.00, Steps: 843, Avg Q-val: nan, replay: 23977, Mem Usage: 6.2%
2024-09-20 22:28:23,733 - INFO - Ep.: 27, Score: -21.0, e: 1.00, Steps: 824, Avg Q-val: nan, replay: 24801, Mem Usage: 6.3%
2024-09-20 22:28:24,249 - INFO - Ep.: 28, Score: -21.0, e: 1.00, Steps: 824, Avg Q-val: nan, replay: 25625, Mem Usage: 6.4%
2024-09-20 22:28:24,848 - INFO - Ep.: 29, Score: -20.0, e: 1.00, Steps: 982, Avg Q-val: nan, replay: 26607, Mem Usage: 6.4%
2024-09-20 22:28:25,423 - INFO - Ep.: 30, Score: -19.0, e: 1.00, Steps: 937, Avg Q-val: nan, replay: 27544, Mem Usage: 6.5%
2024-09-20 22:28:25,942 - INFO - Ep.: 31, Score: -21.0, e: 1.00, Steps: 826, Avg Q-val: nan, replay: 28370, Mem Usage: 6.6%
2024-09-20 22:28:26,503 - INFO - Ep.: 32, Score: -21.0, e: 1.00, Steps: 912, Avg Q-val: nan, replay: 29282, Mem Usage: 6.7%
2024-09-20 22:28:26,997 - INFO - Ep.: 33, Score: -21.0, e: 1.00, Steps: 783, Avg Q-val: nan, replay: 30065, Mem Usage: 6.7%
2024-09-20 22:28:27,537 - INFO - Ep.: 34, Score: -21.0, e: 1.00, Steps: 869, Avg Q-val: nan, replay: 30934, Mem Usage: 6.8%
2024-09-20 22:28:28,093 - INFO - Ep.: 35, Score: -20.0, e: 1.00, Steps: 903, Avg Q-val: nan, replay: 31837, Mem Usage: 6.9%
2024-09-20 22:28:28,602 - INFO - Ep.: 36, Score: -21.0, e: 1.00, Steps: 813, Avg Q-val: nan, replay: 32650, Mem Usage: 7.0%
2024-09-20 22:28:29,132 - INFO - Ep.: 37, Score: -21.0, e: 1.00, Steps: 854, Avg Q-val: nan, replay: 33504, Mem Usage: 7.0%
2024-09-20 22:28:29,617 - INFO - Ep.: 38, Score: -21.0, e: 1.00, Steps: 764, Avg Q-val: nan, replay: 34268, Mem Usage: 7.1%
2024-09-20 22:28:30,101 - INFO - Ep.: 39, Score: -21.0, e: 1.00, Steps: 764, Avg Q-val: nan, replay: 35032, Mem Usage: 7.2%
