2024-09-23 09:22:14,328 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Frogger_results/models/dqn_model_ALE_Frogger_final_20240829_113617.pth
2024-09-23 09:22:14,969 - INFO - Ep.: 0, Score: 1.0, e: 1.00, Steps: 166, Avg Q-val: nan, replay: 166, Mem Usage: 30.1%
2024-09-23 09:22:15,410 - INFO - Ep.: 1, Score: 1.0, e: 1.00, Steps: 185, Avg Q-val: nan, replay: 351, Mem Usage: 30.2%
2024-09-23 09:22:15,723 - INFO - Ep.: 2, Score: 5.0, e: 1.00, Steps: 318, Avg Q-val: nan, replay: 669, Mem Usage: 30.3%
2024-09-23 09:22:15,905 - INFO - Ep.: 3, Score: 0.0, e: 1.00, Steps: 145, Avg Q-val: nan, replay: 814, Mem Usage: 30.3%
2024-09-23 09:22:16,209 - INFO - Ep.: 4, Score: 4.0, e: 1.00, Steps: 307, Avg Q-val: nan, replay: 1121, Mem Usage: 30.4%
2024-09-23 09:22:16,405 - INFO - Ep.: 5, Score: 0.0, e: 1.00, Steps: 137, Avg Q-val: nan, replay: 1258, Mem Usage: 30.5%
2024-09-23 09:22:16,618 - INFO - Ep.: 6, Score: 1.0, e: 1.00, Steps: 178, Avg Q-val: nan, replay: 1436, Mem Usage: 30.5%
2024-09-23 09:22:16,885 - INFO - Ep.: 7, Score: 3.0, e: 1.00, Steps: 260, Avg Q-val: nan, replay: 1696, Mem Usage: 30.6%
2024-09-23 09:22:17,075 - INFO - Ep.: 8, Score: 1.0, e: 1.00, Steps: 159, Avg Q-val: nan, replay: 1855, Mem Usage: 30.6%
2024-09-23 09:22:17,346 - INFO - Ep.: 9, Score: 3.0, e: 1.00, Steps: 269, Avg Q-val: nan, replay: 2124, Mem Usage: 30.7%
2024-09-23 09:22:17,553 - INFO - Ep.: 10, Score: 1.0, e: 1.00, Steps: 167, Avg Q-val: nan, replay: 2291, Mem Usage: 30.8%
2024-09-23 09:22:17,790 - INFO - Ep.: 11, Score: 2.0, e: 1.00, Steps: 196, Avg Q-val: nan, replay: 2487, Mem Usage: 30.9%
2024-09-23 09:22:17,975 - INFO - Ep.: 12, Score: 0.0, e: 1.00, Steps: 127, Avg Q-val: nan, replay: 2614, Mem Usage: 31.0%
2024-09-23 09:22:18,192 - INFO - Ep.: 13, Score: 0.0, e: 1.00, Steps: 156, Avg Q-val: nan, replay: 2770, Mem Usage: 31.0%
2024-09-23 09:22:18,388 - INFO - Ep.: 14, Score: 1.0, e: 1.00, Steps: 153, Avg Q-val: nan, replay: 2923, Mem Usage: 31.0%
