2024-08-18 00:03:29,993 - INFO - Ep.: 0, Score: -7.0, e: 1.00, Steps: 3393, Avg Q-val: nan, replay: 3393, Mem Usage: 37.5%
2024-08-18 00:03:32,912 - INFO - Ep.: 1, Score: -9.0, e: 1.00, Steps: 3327, Avg Q-val: nan, replay: 6720, Mem Usage: 37.8%
2024-08-18 00:03:35,444 - INFO - Ep.: 2, Score: -8.0, e: 1.00, Steps: 3254, Avg Q-val: nan, replay: 9974, Mem Usage: 38.0%
2024-08-18 00:03:37,973 - INFO - Ep.: 3, Score: -2.0, e: 1.00, Steps: 3248, Avg Q-val: nan, replay: 13222, Mem Usage: 38.3%
2024-08-18 00:03:40,574 - INFO - Ep.: 4, Score: -10.0, e: 1.00, Steps: 3306, Avg Q-val: nan, replay: 16528, Mem Usage: 38.6%
2024-08-18 00:03:42,951 - INFO - Ep.: 5, Score: -2.0, e: 1.00, Steps: 3010, Avg Q-val: nan, replay: 19538, Mem Usage: 38.8%
2024-08-18 00:03:45,494 - INFO - Ep.: 6, Score: -8.0, e: 1.00, Steps: 3249, Avg Q-val: nan, replay: 22787, Mem Usage: 39.1%
2024-08-18 00:03:48,027 - INFO - Ep.: 7, Score: -8.0, e: 1.00, Steps: 3268, Avg Q-val: nan, replay: 26055, Mem Usage: 39.4%
2024-08-18 00:03:50,561 - INFO - Ep.: 8, Score: -13.0, e: 1.00, Steps: 3248, Avg Q-val: nan, replay: 29303, Mem Usage: 39.7%
2024-08-18 00:03:53,325 - INFO - Ep.: 9, Score: -9.0, e: 1.00, Steps: 3580, Avg Q-val: nan, replay: 32883, Mem Usage: 40.0%
2024-08-18 00:03:55,796 - INFO - Ep.: 10, Score: -5.0, e: 1.00, Steps: 3169, Avg Q-val: nan, replay: 36052, Mem Usage: 40.2%
2024-08-18 00:03:58,613 - INFO - Ep.: 11, Score: -17.0, e: 1.00, Steps: 3584, Avg Q-val: nan, replay: 39636, Mem Usage: 40.5%
2024-08-18 00:04:01,354 - INFO - Ep.: 12, Score: -12.0, e: 1.00, Steps: 3510, Avg Q-val: nan, replay: 43146, Mem Usage: 40.8%
2024-08-18 00:04:03,893 - INFO - Ep.: 13, Score: -12.0, e: 1.00, Steps: 3251, Avg Q-val: nan, replay: 46397, Mem Usage: 41.1%
2024-08-18 00:04:06,491 - INFO - Ep.: 14, Score: -5.0, e: 1.00, Steps: 3326, Avg Q-val: nan, replay: 49723, Mem Usage: 41.4%
2024-08-18 00:04:09,247 - INFO - Ep.: 15, Score: -15.0, e: 1.00, Steps: 3549, Avg Q-val: nan, replay: 53272, Mem Usage: 41.7%
2024-08-18 00:04:11,919 - INFO - Ep.: 16, Score: -10.0, e: 1.00, Steps: 3411, Avg Q-val: nan, replay: 56683, Mem Usage: 42.0%
2024-08-18 00:04:14,394 - INFO - Ep.: 17, Score: -10.0, e: 1.00, Steps: 3174, Avg Q-val: nan, replay: 59857, Mem Usage: 42.2%
2024-08-18 00:04:17,118 - INFO - Ep.: 18, Score: -7.0, e: 1.00, Steps: 3508, Avg Q-val: nan, replay: 63365, Mem Usage: 42.5%
2024-08-18 00:04:19,807 - INFO - Ep.: 19, Score: -16.0, e: 1.00, Steps: 3447, Avg Q-val: nan, replay: 66812, Mem Usage: 42.8%
