2024-08-31 09:48:59,666 - INFO - Ep.: 0, Score: 320.0, e: 1.00, Steps: 733, Avg Q-val: nan, replay: 733, Mem Usage: 36.0%
2024-08-31 09:49:00,567 - INFO - Ep.: 1, Score: 110.0, e: 1.00, Steps: 723, Avg Q-val: nan, replay: 1456, Mem Usage: 36.2%
2024-08-31 09:49:01,545 - INFO - Ep.: 2, Score: 280.0, e: 1.00, Steps: 1070, Avg Q-val: nan, replay: 2526, Mem Usage: 36.5%
2024-08-31 09:49:02,412 - INFO - Ep.: 3, Score: 1700.0, e: 1.00, Steps: 959, Avg Q-val: nan, replay: 3485, Mem Usage: 36.6%
2024-08-31 09:49:02,960 - INFO - Ep.: 4, Score: 170.0, e: 1.00, Steps: 594, Avg Q-val: nan, replay: 4079, Mem Usage: 36.8%
2024-08-31 09:49:03,530 - INFO - Ep.: 5, Score: 130.0, e: 1.00, Steps: 635, Avg Q-val: nan, replay: 4714, Mem Usage: 36.9%
2024-08-31 09:49:04,131 - INFO - Ep.: 6, Score: 150.0, e: 1.00, Steps: 681, Avg Q-val: nan, replay: 5395, Mem Usage: 37.0%
2024-08-31 09:49:04,974 - INFO - Ep.: 7, Score: 260.0, e: 1.00, Steps: 955, Avg Q-val: nan, replay: 6350, Mem Usage: 37.2%
2024-08-31 09:49:05,644 - INFO - Ep.: 8, Score: 270.0, e: 1.00, Steps: 758, Avg Q-val: nan, replay: 7108, Mem Usage: 37.4%
2024-08-31 09:49:06,148 - INFO - Ep.: 9, Score: 130.0, e: 1.00, Steps: 571, Avg Q-val: nan, replay: 7679, Mem Usage: 37.5%
2024-08-31 09:49:06,690 - INFO - Ep.: 10, Score: 140.0, e: 1.00, Steps: 581, Avg Q-val: nan, replay: 8260, Mem Usage: 37.6%
2024-08-31 09:49:07,176 - INFO - Ep.: 11, Score: 140.0, e: 1.00, Steps: 535, Avg Q-val: nan, replay: 8795, Mem Usage: 37.7%
2024-08-31 09:49:07,653 - INFO - Ep.: 12, Score: 160.0, e: 1.00, Steps: 532, Avg Q-val: nan, replay: 9327, Mem Usage: 37.8%
2024-08-31 09:49:08,222 - INFO - Ep.: 13, Score: 180.0, e: 1.00, Steps: 599, Avg Q-val: nan, replay: 9926, Mem Usage: 37.8%
2024-08-31 09:49:08,823 - INFO - Ep.: 14, Score: 140.0, e: 1.00, Steps: 654, Avg Q-val: nan, replay: 10580, Mem Usage: 38.0%
2024-08-31 09:49:09,421 - INFO - Ep.: 15, Score: 160.0, e: 1.00, Steps: 665, Avg Q-val: nan, replay: 11245, Mem Usage: 37.9%
2024-08-31 09:49:09,916 - INFO - Ep.: 16, Score: 120.0, e: 1.00, Steps: 541, Avg Q-val: nan, replay: 11786, Mem Usage: 38.0%
2024-08-31 09:49:10,523 - INFO - Ep.: 17, Score: 150.0, e: 1.00, Steps: 638, Avg Q-val: nan, replay: 12424, Mem Usage: 38.0%
2024-08-31 09:49:11,022 - INFO - Ep.: 18, Score: 180.0, e: 1.00, Steps: 542, Avg Q-val: nan, replay: 12966, Mem Usage: 38.1%
2024-08-31 09:49:11,786 - INFO - Ep.: 19, Score: 310.0, e: 1.00, Steps: 868, Avg Q-val: nan, replay: 13834, Mem Usage: 38.2%
2024-08-31 09:49:12,430 - INFO - Ep.: 20, Score: 350.0, e: 1.00, Steps: 709, Avg Q-val: nan, replay: 14543, Mem Usage: 38.3%
2024-08-31 09:49:12,903 - INFO - Ep.: 21, Score: 160.0, e: 1.00, Steps: 513, Avg Q-val: nan, replay: 15056, Mem Usage: 38.3%
2024-08-31 09:49:13,438 - INFO - Ep.: 22, Score: 130.0, e: 1.00, Steps: 557, Avg Q-val: nan, replay: 15613, Mem Usage: 38.4%
2024-08-31 09:49:14,035 - INFO - Ep.: 23, Score: 180.0, e: 1.00, Steps: 659, Avg Q-val: nan, replay: 16272, Mem Usage: 38.4%
2024-08-31 09:49:14,835 - INFO - Ep.: 24, Score: 290.0, e: 1.00, Steps: 882, Avg Q-val: nan, replay: 17154, Mem Usage: 38.4%
2024-08-31 09:49:15,380 - INFO - Ep.: 25, Score: 220.0, e: 1.00, Steps: 606, Avg Q-val: nan, replay: 17760, Mem Usage: 38.5%
2024-08-31 09:49:15,996 - INFO - Ep.: 26, Score: 120.0, e: 1.00, Steps: 663, Avg Q-val: nan, replay: 18423, Mem Usage: 38.5%
2024-08-31 09:49:16,990 - INFO - Ep.: 27, Score: 760.0, e: 1.00, Steps: 1098, Avg Q-val: nan, replay: 19521, Mem Usage: 38.6%
2024-08-31 09:49:17,699 - INFO - Ep.: 28, Score: 190.0, e: 1.00, Steps: 746, Avg Q-val: nan, replay: 20267, Mem Usage: 38.7%
2024-08-31 09:49:18,181 - INFO - Ep.: 29, Score: 150.0, e: 1.00, Steps: 495, Avg Q-val: nan, replay: 20762, Mem Usage: 38.7%
2024-08-31 09:49:18,884 - INFO - Ep.: 30, Score: 250.0, e: 1.00, Steps: 757, Avg Q-val: nan, replay: 21519, Mem Usage: 38.8%
2024-08-31 09:49:19,503 - INFO - Ep.: 31, Score: 230.0, e: 1.00, Steps: 662, Avg Q-val: nan, replay: 22181, Mem Usage: 38.8%
2024-08-31 09:49:20,056 - INFO - Ep.: 32, Score: 140.0, e: 1.00, Steps: 613, Avg Q-val: nan, replay: 22794, Mem Usage: 38.9%
2024-08-31 09:49:20,501 - INFO - Ep.: 33, Score: 180.0, e: 1.00, Steps: 481, Avg Q-val: nan, replay: 23275, Mem Usage: 38.9%
2024-08-31 09:49:20,984 - INFO - Ep.: 34, Score: 130.0, e: 1.00, Steps: 530, Avg Q-val: nan, replay: 23805, Mem Usage: 38.9%
2024-08-31 09:49:21,658 - INFO - Ep.: 35, Score: 240.0, e: 1.00, Steps: 750, Avg Q-val: nan, replay: 24555, Mem Usage: 39.0%
2024-08-31 09:49:22,239 - INFO - Ep.: 36, Score: 290.0, e: 1.00, Steps: 635, Avg Q-val: nan, replay: 25190, Mem Usage: 39.0%
2024-08-31 09:49:22,731 - INFO - Ep.: 37, Score: 120.0, e: 1.00, Steps: 514, Avg Q-val: nan, replay: 25704, Mem Usage: 39.1%
2024-08-31 09:49:23,315 - INFO - Ep.: 38, Score: 300.0, e: 1.00, Steps: 661, Avg Q-val: nan, replay: 26365, Mem Usage: 39.2%
2024-08-31 09:49:23,972 - INFO - Ep.: 39, Score: 210.0, e: 1.00, Steps: 716, Avg Q-val: nan, replay: 27081, Mem Usage: 39.2%
2024-08-31 09:49:24,687 - INFO - Ep.: 40, Score: 170.0, e: 1.00, Steps: 760, Avg Q-val: nan, replay: 27841, Mem Usage: 39.3%
2024-08-31 09:49:25,292 - INFO - Ep.: 41, Score: 190.0, e: 1.00, Steps: 644, Avg Q-val: nan, replay: 28485, Mem Usage: 39.2%
2024-08-31 09:49:25,895 - INFO - Ep.: 42, Score: 130.0, e: 1.00, Steps: 671, Avg Q-val: nan, replay: 29156, Mem Usage: 39.4%
2024-08-31 09:49:26,424 - INFO - Ep.: 43, Score: 210.0, e: 1.00, Steps: 599, Avg Q-val: nan, replay: 29755, Mem Usage: 39.4%
2024-08-31 09:49:27,005 - INFO - Ep.: 44, Score: 170.0, e: 1.00, Steps: 631, Avg Q-val: nan, replay: 30386, Mem Usage: 39.4%
2024-08-31 09:49:27,616 - INFO - Ep.: 45, Score: 820.0, e: 1.00, Steps: 664, Avg Q-val: nan, replay: 31050, Mem Usage: 39.5%
2024-08-31 09:49:28,353 - INFO - Ep.: 46, Score: 220.0, e: 1.00, Steps: 784, Avg Q-val: nan, replay: 31834, Mem Usage: 39.6%
2024-08-31 09:49:28,870 - INFO - Ep.: 47, Score: 200.0, e: 1.00, Steps: 572, Avg Q-val: nan, replay: 32406, Mem Usage: 39.6%
2024-08-31 09:49:29,353 - INFO - Ep.: 48, Score: 140.0, e: 1.00, Steps: 541, Avg Q-val: nan, replay: 32947, Mem Usage: 39.7%
2024-08-31 09:49:30,120 - INFO - Ep.: 49, Score: 330.0, e: 1.00, Steps: 841, Avg Q-val: nan, replay: 33788, Mem Usage: 39.7%
2024-08-31 09:49:30,586 - INFO - Ep.: 50, Score: 170.0, e: 1.00, Steps: 502, Avg Q-val: nan, replay: 34290, Mem Usage: 39.7%
